"Season","date","Player","playerID","toTeam","toTeamID","toTeamabbr","toLeague","toOrg","toSport","fromTeam","fromTeamID","fromTeamabbr","fromLeague","fromOrg","fromSport","typeDesc","description","WAR","PlayerName","Age","AVG","position","ERA","lagWAR","lagAVG","lagERA","lagWinpcttoTeam","lagWinpctfromTeam"
2010,"2010-01-07","Casey Kotchman",425773,"Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Trade","Boston Red Sox traded 1B Casey Kotchman to Seattle Mariners for Player To Be Named Later and LF Bill Hall.",-1.7151,"Casey Kotchman",27,0.2174,"1B",NA,0.739,0.2675,NA,0.525,0.586
2010,"2010-01-07","Bill Hall",407849,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Trade","Boston Red Sox traded 1B Casey Kotchman to Seattle Mariners for Player To Be Named Later and LF Bill Hall.",0.4364,"Bill Hall",30,0.2471,"3B/SS",0,-0.5358,0.2006,NA,0.586,0.525
2010,"2010-01-07",NA,0,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Trade","Boston Red Sox traded 1B Casey Kotchman to Seattle Mariners for Player To Be Named Later and LF Bill Hall.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586,0.525
2010,"2010-01-16","Scott Hairston",430668,"San Diego Padres",135,"SD","National League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","San Diego Padres Traded 3B Kevin Kouzmanoff to Oakland Athletics; Oakland Athletics Traded RF Aaron Cunningham and LF Scott Hairston to San Diego Padres and San Antonio Missions Traded 2B Eric Sogard to Midland RockHounds.",-0.0119,"Scott Hairston",30,0.2102,"OF",NA,1.7286,0.2651,NA,0.463,0.463
2010,"2010-01-16","Aaron Cunningham",488811,"San Diego Padres",135,"SD","National League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","San Diego Padres Traded 3B Kevin Kouzmanoff to Oakland Athletics; Oakland Athletics Traded RF Aaron Cunningham and LF Scott Hairston to San Diego Padres and San Antonio Missions Traded 2B Eric Sogard to Midland RockHounds.",0.5635,"Aaron Cunningham",24,0.2879,"OF",NA,-0.5668,0.1509,NA,0.463,0.463
2010,"2010-01-16","Kevin Kouzmanoff",450260,"Athletics",133,"ATH","American League",NA,"Major League Baseball","San Diego Padres",135,"SD","National League",NA,"Major League Baseball","Trade","San Diego Padres Traded 3B Kevin Kouzmanoff to Oakland Athletics; Oakland Athletics Traded RF Aaron Cunningham and LF Scott Hairston to San Diego Padres and San Antonio Missions Traded 2B Eric Sogard to Midland RockHounds.",2.495,"Kevin Kouzmanoff",28,0.2468,"3B",NA,2.0688,0.2552,NA,0.463,0.463
2010,"2010-01-18","Brian Bixler",444448,"Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Pittsburgh Pirates",134,"PIT","National League",NA,"Major League Baseball","Trade","Mahoning Valley Scrappers Traded 3B Jesus Brito to West Virginia Power and Pittsburgh Pirates Traded SS Brian Bixler to Cleveland Indians.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401,0.385
2010,"2010-01-20","Merkin Valdez",429723,"Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","San Francisco Giants",137,"SF","National League",NA,"Major League Baseball","Trade","San Francisco Giants traded RHP Merkin Valdez to Toronto Blue Jays.",-0.0445,"Merkin Valdez",28,0,"P",20.25,-0.2046,0,5.6554,0.463,0.543
2010,"2010-01-22","Gary Matthews Jr.",150439,"New York Mets",121,"NYM","National League",NA,"Major League Baseball","Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","Trade","Los Angeles Angels traded cash and CF Gary Matthews to New York Mets for RHP Brian Stokes.",-0.0939,"Gary Matthews Jr.",35,0.1897,"OF",NA,-0.983,0.25,NA,0.432,0.599
2010,"2010-01-22","Brian Stokes",425530,"Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","New York Mets",121,"NYM","National League",NA,"Major League Baseball","Trade","Los Angeles Angels traded cash and CF Gary Matthews to New York Mets for RHP Brian Stokes.",-0.4121,"Brian Stokes",30,0,"P",8.1,-0.014,0,3.9668,0.599,0.432
