"ID","Name","Position","League","type","positionGroup"
425773,"Casey Kotchman","1B",NA,FALSE,"Infield"
407849,"Bill Hall","3B/SS",NA,FALSE,"Utility"
430668,"Scott Hairston","OF",NA,FALSE,"Outfield"
488811,"Aaron Cunningham","OF",NA,FALSE,"Outfield"
450260,"Kevin Kouzmanoff","3B",NA,FALSE,"Infield"
429723,"Merkin Valdez","P",NA,FALSE,"Pitcher"
150439,"Gary Matthews Jr.","OF",NA,FALSE,"Outfield"
425530,"Brian Stokes","P",NA,FALSE,"Pitcher"
449172,"Greg Golson","OF",NA,FALSE,"Outfield"
425446,"Aaron Miles","2B",NA,FALSE,"Infield"
430838,"Willy Taveras","OF",NA,FALSE,"Outfield"
489267,"Adam Rosales","2B/3B/SS",NA,FALSE,"Utility"
445968,"Dana Eveland","P",NA,FALSE,"Pitcher"
469735,"Edwar Ramirez","P",NA,FALSE,"Pitcher"
435623,"Kevin Frandsen","2B/3B",NA,FALSE,"Utility"
433217,"Andrés Blanco","2B/SS",NA,FALSE,"Utility"
425146,"Nate Robertson","P",NA,FALSE,"Pitcher"
150061,"Julio Lugo","SS",NA,FALSE,"Infield"
434669,"Luis Mendoza","P",NA,FALSE,"Pitcher"
430930,"Fred Lewis","OF",NA,FALSE,"Outfield"
460349,"Carlos Rosa","P",NA,FALSE,"Pitcher"
346800,"Saul Rivera","P",NA,FALSE,"Pitcher"
434438,"Billy Buckner","P",NA,FALSE,"Pitcher"
425883,"Dontrelle Willis","P",NA,FALSE,"Pitcher"
433582,"Conor Jackson","1B/OF",NA,FALSE,"Utility"
444844,"Jake Fox","OF",NA,FALSE,"Outfield"
452221,"Eric Patterson","2B/OF",NA,FALSE,"Utility"
137140,"Russell Branyan","1B/3B",NA,FALSE,"Utility"
408211,"Kevin Cash","C",NA,FALSE,"Infield"
444884,"Chris Ray","P",NA,FALSE,"Pitcher"
134260,"Bengie Molina","C",NA,FALSE,"Infield"
451595,"Sean Gallagher","P",NA,FALSE,"Pitcher"
450275,"Mark Lowe","P",NA,FALSE,"Pitcher"
424324,"Cliff Lee","P",NA,FALSE,"Pitcher"
136460,"Alex Gonzalez","SS",NA,FALSE,"Infield"
457456,"Jo-Jo Reyes","P",NA,FALSE,"Pitcher"
488862,"Yunel Escobar","3B/SS",NA,FALSE,"Utility"
430948,"Alberto Callaspo","2B/3B",NA,FALSE,"Utility"
457711,"Sean O'Sullivan","P",NA,FALSE,"Pitcher"
434578,"Joe Saunders","P",NA,FALSE,"Pitcher"
429717,"Dan Haren","P",NA,FALSE,"Pitcher"
444126,"Rafael Rodriguez","P",NA,FALSE,"Pitcher"
425509,"Jhonny Peralta","SS",NA,FALSE,"Infield"
400061,"Roy Oswalt","P",NA,FALSE,"Pitcher"
